"""","居住地のない住宅_空き家_賃貸用の住宅","居住地のない住宅_空き家_売却用の住宅","居住地のない住宅_空き家_その他の住宅","居住地のない住宅_建築中","人が居住する住宅以外の建物_総 数","人が居住する住宅以外の建物_学校・会社等の寮・寄宿舎","人が居住する住宅以外の建物_旅館・ 宿泊所","人が居住する住宅以外の建物_その他の建物"
"昭和38年(1963年)","…","…","…","1200.0","1700.0","600.0","1060.0",""
"昭和43年(1968年)","…","…","…","1290.0","2500.0","890.0","1610.0",""
"昭和48年(1973年)","…","…","…","1800.0","2500.0","800.0","1600.0",""
"昭和53年(1978年)","…","…","…","2200.0","2200.0","900.0","1300.0",""
"昭和58年(1983年)","16300.0","","18100.0","1600.0","1800.0","500.0","1200.0",""
"","","","","","","","",""
"昭和63年(1988年)","20000.0","","22300.0","1400.0","1500.0","500.0","1000.0",""
"平成 5年(1993年)","20300.0","","23600.0","1000.0","1300.0","400.0","1000.0",""
"平成10年(1998年)","27300.0","","26600.0","1300.0","1000.0","300.0"," 700",""
"平成15年(2003年)","33300.0","","34700.0","800.0","600.0","100.0"," 500",""
"平成20年(2008年)","31600.0","3000.0","42500.0","600.0","600.0","100.0","100.0","400.0"
"","","","","","","","",""
"平成25年(2013年)","27800.0","2400.0","48200.0","500.0","500.0","0.0","100.0","300.0"
"","","","","","","","",""
"     和歌山市","13600.0","1280.0","13730.0","250.0","90.0","…","…","…"
"     海 南 市","1920.0","80.0","3050.0","40.0","30.0","…","…","…"
"     橋 本 市","1170.0","150.0","2510.0","30.0","10.0","…","…","…"
"     有 田 市","700.0","20.0","1410.0","20.0","40.0","…","…","…"
"     御 坊 市","530.0","40.0","1590.0","10.0","20.0","…","…","…"
"","","","","","","","",""
"     田 辺 市","1750.0","50.0","4530.0","20.0","90.0","…","…","…"
"     新 宮 市","920.0","90.0","1840.0","30.0","40.0","…","…","…"
"   　紀の川市","1210.0","200.0","2690.0","70.0","20.0","…","…","…"
"     岩 出 市","1230.0","210.0","1600.0","30.0","20.0","…","…","…"
"","","","","","","","",""
"     かつらぎ町","390.0","50.0","1120.0","0.0","0.0","…","…","…"
"　   有田川町","410.0","0.0","1070.0","20.0","20.0","…","…","…"
"     白 浜 町","1840.0","20.0","1760.0","0.0","30.0","…","…","…"
"     那智勝浦町","810.0","30.0","1420.0","0.0","0.0","…","…","…"
"     串 本 町","230.0","30.0","2280.0","0.0","0.0","…","…","…"
